(0x3b561011, 0x00141583)
(0x98571111, 0x01941523)
(0xca06090d, 0x40301900)
(0xca261905, 0x40201100)
(0xc8070909, 0x41301902)
(0xc8271901, 0x41201102)
(0xc2661905, 0x40001108)
(0xc0671901, 0x4100110a)
(0xc204110c, 0x46301000)
(0xc2240104, 0x46201800)
(0xc0051108, 0x47301002)
(0xc0250100, 0x47201802)
(0x80046118, 0x46080422)
(0x8204691c, 0x46080020)
(0x80056918, 0x47080022)
(0xac1c420d, 0x00000480)
(0x86006a00, 0x00aa0023)
(0xa2044908, 0x06281002)
(0xa81c610d, 0x02200500)
(0x00244990, 0x66684024)
(0x00344194, 0x66604424)
(0xca583100, 0x0810446a)
(0xc25c2118, 0x0c104c62)
(0xc25c3110, 0x0c104462)
(0x821c3110, 0x2c204462)
(0xcf502310, 0x08164c67)
(0xc2045180, 0x06785424)
(0x01584000, 0xcd02452b)
(0x84180001, 0x48921d2f)
(0x86100c05, 0x4896192d)
(0x00500041, 0x4a964d87)
(0x02580c45, 0x4a924985)
(0xa1510105, 0x0a161d0d)
(0x00510005, 0x0a961dad)
(0x80510105, 0x0a961d2d)
(0x80500105, 0x0a961d2d)
(0x25510001, 0x09161d8f)
(0x27500001, 0x08161d8f)
(0x84500c05, 0x0996192d)
(0xc2007800, 0xd03a0180)
(0x42007900, 0xd03a0100)
(0x86004801, 0x04aa1125)
(0x86104005, 0x04a21525)
(0x02206901, 0x702a0100)
(0x88260941, 0x6120c10a)
(0xc8061941, 0x4130c10a)
(0xc8060959, 0x4130c902)
(0xc0240150, 0x4720c802)
(0xc0561901, 0x5110c122)
(0xc0571911, 0x11101142)
(0xc2561915, 0x10101140)
(0x8a061101, 0x30281540)
(0xc256090d, 0x10101948)
(0xc0570909, 0x1110194a)
(0x82140104, 0x36201840)
(0x80150100, 0x37201842)
(0x800c1841, 0x6331d11e)
(0x4f5c4800, 0xc800416b)
(0x1a5e4991, 0x60504122)
(0xca5e4812, 0xc80043e2)
(0x80600948, 0x6308c002)
(0x00310091, 0x67234426)
(0xc0040018, 0x462844e2)
(0x40040118, 0x46284462)
(0xca400a04, 0x420a48e0)
(0x4a400b04, 0x420a4860)
(0xc204081c, 0x462840e0)
(0xc0050818, 0x472840e2)
(0x4204091c, 0x46284060)
(0x40050918, 0x47284062)
(0x02244998, 0x66684022)
(0xc8400200, 0x420a4ce2)
(0x48400300, 0x420a4c62)
(0x08604384, 0x624a4c20)
(0xc3501001, 0x481405e3)
(0x43501101, 0x48140563)
(0x655c0001, 0x08111dcf)
(0xca5c3111, 0x08104562)
(0xcf542111, 0x08144d67)
(0xcb562111, 0x0a144d67)
(0x4d562015, 0x08144de5)
(0xcd562115, 0x08144d65)
(0xc9542015, 0x0a154d65)
(0xc9842990, 0x8a3c4925)
(0xcd862990, 0x883c4925)
(0xc9842890, 0x8a3d4925)
(0xc9042b91, 0x0a3c4825)
(0xc45c0101, 0x08911d6f)
(0x445c0001, 0x08911def)
(0xc9006398, 0x0a7e4c23)
(0xc9007390, 0x0a7e4423)
(0x4a5e3813, 0x081043e2)
(0xca5e3913, 0x08104362)
(0xdabe3990, 0x80204122)
(0x1a1e3811, 0x202041e2)
(0x9a1e3911, 0x20204162)
(0xc2560c05, 0x0a94196d)
(0xd2dc1884, 0x80901129)
(0xd91c3001, 0x00300563)
(0xd85e000d, 0x40100de0)
(0xdb561001, 0x401405e3)
(0xd3561001, 0x441405e3)
(0x586e1811, 0x000851e0)
(0xd86e1911, 0x00085160)
(0x4a200bc0, 0x526a7802)
(0xe0401908, 0x4318c022)
(0x40409848, 0x43188082)
(0xc8001948, 0x4338c00a)
(0xc0401948, 0x4318c002)
(0xc0040940, 0x4738c80a)
(0x40000010, 0x02381ce2)
